HGNC	criteria
SNAI2	'Regulation of genes associated with aging'
SNAI2	'Changes in gene activity protect against age-related impairment'
SNAI2	'Changes in gene activity enhance age-related deterioration'
SNAI2	'Changes in gene activity extend non-mammalian lifespan'
SNAI2	'Changes in gene activity reduce non-mammalian lifespan'
SNAI2	'Age-related changes in gene expression, methylation or protein activity in humans'
SNAP23	'Age-related changes in gene expression, methylation or protein activity in humans'
SNAPC1	'Age-related changes in gene expression, methylation or protein activity in humans'
SNCA	'Age-related changes in gene expression, methylation or protein activity in humans'
SNCG	'Age-related changes in gene expression, methylation or protein activity'
SNED1	'Age-related changes in gene expression, methylation or protein activity in humans'
SNRNP27	'Age-related changes in gene expression, methylation or protein activity in humans'
SNRNP70	'Age-related changes in gene expression, methylation or protein activity in humans'
SNRPN	'Age-related changes in gene expression, methylation or protein activity in humans'
SNTG2	'Age-related changes in gene expression, methylation or protein activity in humans'
SNW1	'Age-related changes in gene expression, methylation or protein activity in humans'
SOCS2	'Age-related changes in gene expression, methylation or protein activity'
SOCS2	'Regulation of genes associated with aging'
SOCS2	'Changes in gene activity reduce mammalian lifespan'
SOCS2	'Changes in gene activity enhance age-related deterioration'
SOCS2	'Age-related changes in gene expression, methylation or protein activity in humans'
SOCS3	'Age-related changes in gene expression, methylation or protein activity'
SOCS3	'Regulation of genes associated with aging'
SOD1	'Age-related changes in gene expression, methylation or protein activity'
SOD1	'Age-related changes in gene expression, methylation or protein activity in humans'
SOD1	'Changes in gene activity protect against age-related impairment'
SOD1	'Changes in gene activity reduce mammalian lifespan'
SOD1	'Changes in gene activity reduce non-mammalian lifespan'
SOD1	'Changes in gene activity extend non-mammalian lifespan'
SOD1	'Changes in gene activity enhance age-related deterioration'
SOD2	'Age-related changes in gene expression, methylation or protein activity'
SOD2	'Changes in gene activity protect against age-related impairment'
SOD2	'Changes in gene activity extend non-mammalian lifespan'
SOD2	'Changes in gene activity reduce mammalian lifespan'
SOD2	'Changes in gene activity enhance age-related deterioration'
SOD2	'Association of genetic variants and gene expression levels with longevity'
SOD3	'Changes in gene activity reduce mammalian lifespan'
SOD3	'Changes in gene activity enhance age-related deterioration'
SOD3	'Association of genetic variants and gene expression levels with longevity'
SON	'Age-related changes in gene expression, methylation or protein activity in humans'
SORD	'Age-related changes in gene expression, methylation or protein activity in humans'
SORT1	'Age-related changes in gene expression, methylation or protein activity in humans'
SOS2	'Age-related changes in gene expression, methylation or protein activity in humans'
SOX13	'Age-related changes in gene expression, methylation or protein activity in humans'
SOX15	'Age-related changes in gene expression, methylation or protein activity in humans'
SOX2	'Changes in gene activity protect against age-related impairment'
SOX4	'Age-related changes in gene expression, methylation or protein activity in humans'
SOX6	'Association of genetic variants and gene expression levels with longevity'
SP1	'Age-related changes in gene expression, methylation or protein activity'
SP1	'Age-related changes in gene expression, methylation or protein activity in humans'
SP1	'Regulation of genes associated with aging'
SP100	'Age-related changes in gene expression, methylation or protein activity in humans'
SPATS2L	'Age-related changes in gene expression, methylation or protein activity in humans'
SPHK2	'Age-related changes in gene expression, methylation or protein activity in humans'
SPON1	'Age-related changes in gene expression, methylation or protein activity in humans'
SPP1	'Age-related changes in gene expression, methylation or protein activity'
SPP1	'Age-related changes in gene expression, methylation or protein activity in humans'
SPP1	'Changes in gene activity enhance age-related deterioration'
SPRTN	'Association of the gene with accelerated aging in humans'
SPRY2	'Age-related changes in gene expression, methylation or protein activity in humans'
SPTBN1	'Age-related changes in gene expression, methylation or protein activity in humans'
SPTSSA	'Age-related changes in gene expression, methylation or protein activity in humans'
SPZ1	'Association of genetic variants and gene expression levels with longevity'
SQSTM1	'Changes in gene activity extend non-mammalian lifespan'
SQSTM1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
SQSTM1	'Regulation of genes associated with aging'
SQSTM1	'Changes in gene activity reduce mammalian lifespan'
SQSTM1	'Changes in gene activity enhance age-related deterioration'
SQSTM1	'Age-related changes in gene expression, methylation or protein activity in humans'
SQSTM1	'Changes in gene activity protect against age-related impairment'
SREK1	'Age-related changes in gene expression, methylation or protein activity in humans'
SRI	'Age-related changes in gene expression, methylation or protein activity in humans'
SRP54	'Age-related changes in gene expression, methylation or protein activity in humans'
SRP68	'Age-related changes in gene expression, methylation or protein activity in humans'
SRP72	'Age-related changes in gene expression, methylation or protein activity in humans'
SRRM2	'Age-related changes in gene expression, methylation or protein activity in humans'
SRSF1	'Age-related changes in gene expression, methylation or protein activity in humans'
SRSF10	'Age-related changes in gene expression, methylation or protein activity in humans'
SRSF11	'Age-related changes in gene expression, methylation or protein activity in humans'
SRSF5	'Age-related changes in gene expression, methylation or protein activity in humans'
SRSF6	'Age-related changes in gene expression, methylation or protein activity in humans'
SSNA1	'Age-related changes in gene expression, methylation or protein activity in humans'
SST	'Age-related changes in gene expression, methylation or protein activity in humans'
SSTR1	'Age-related changes in gene expression, methylation or protein activity'
SSTR2	'Age-related changes in gene expression, methylation or protein activity'
SSTR3	'Age-related changes in gene expression, methylation or protein activity'
SSTR5	'Age-related changes in gene expression, methylation or protein activity'
ST13	'Age-related changes in gene expression, methylation or protein activity in humans'
ST6GAL1	'Age-related changes in gene expression, methylation or protein activity in humans'
ST6GALNAC2	'Age-related changes in gene expression, methylation or protein activity in humans'
ST8SIA1	'Age-related changes in gene expression, methylation or protein activity in humans'
ST8SIA5	'Age-related changes in gene expression, methylation or protein activity in humans'
STAG1	'Age-related changes in gene expression, methylation or protein activity in humans'
STAG2	'Age-related changes in gene expression, methylation or protein activity in humans'
STARD13	'Age-related changes in gene expression, methylation or protein activity in humans'
STAT3	'Age-related changes in gene expression, methylation or protein activity'
STAT3	'Regulation of genes associated with aging'
STAT3	'Association of genetic variants and gene expression levels with longevity'
STAT5A	'Association of genetic variants and gene expression levels with longevity'
STAT5B	'Regulation of genes associated with aging'
STAT5B	'Age-related changes in gene expression, methylation or protein activity in humans'
STAT5B	'Changes in gene activity reduce non-mammalian lifespan'
STK10	'Association of genetic variants and gene expression levels with longevity'
STK17A	'Age-related changes in gene expression, methylation or protein activity in humans'
STK24	'Association of genetic variants and gene expression levels with longevity'
STK25	'Age-related changes in gene expression, methylation or protein activity in humans'
STK38	'Age-related changes in gene expression, methylation or protein activity in humans'
STK4	'Age-related changes in gene expression, methylation or protein activity in humans'
STOM	'Age-related changes in gene expression, methylation or protein activity in humans'
STRADB	'Age-related changes in gene expression, methylation or protein activity in humans'
STUB1	'Changes in gene activity reduce mammalian lifespan'
STUB1	'Changes in gene activity enhance age-related deterioration'
STUB1	'Changes in gene activity extend non-mammalian lifespan'
STX5	'Age-related changes in gene expression, methylation or protein activity in humans'
STX6	'Age-related changes in gene expression, methylation or protein activity in humans'
STX7	'Age-related changes in gene expression, methylation or protein activity in humans'
STYX	'Age-related changes in gene expression, methylation or protein activity in humans'
SUB1	'Age-related changes in gene expression, methylation or protein activity in humans'
SUB1	'Regulation of genes associated with aging'
SUB1	'Changes in gene activity protect against age-related impairment'
SUB1	'Age-related changes in gene expression, methylation or protein activity'
SUCLA2	'Age-related changes in gene expression, methylation or protein activity in humans'
SUCLG1	'Age-related changes in gene expression, methylation or protein activity in humans'
SUMO1	'Changes in gene activity extend non-mammalian lifespan'
SUMO1	'Age-related changes in gene expression, methylation or protein activity'
SUMO1	'Changes in gene activity reduce non-mammalian lifespan'
SUMO2	'Age-related changes in gene expression, methylation or protein activity in humans'
SUMO3	'Age-related changes in gene expression, methylation or protein activity in humans'
SUN1	'Age-related changes in gene expression, methylation or protein activity'
SUPV3L1	'Age-related changes in gene expression, methylation or protein activity in humans'
SURF1	'Changes in gene activity extend mammalian lifespan'
SURF1	'Changes in gene activity protect against age-related impairment'
SURF1	'Changes in gene activity extend non-mammalian lifespan'
SVEP1	'Association of genetic variants and gene expression levels with longevity'
SYAP1	'Age-related changes in gene expression, methylation or protein activity in humans'
SYDE2	'Association of genetic variants and gene expression levels with longevity'
SYN2	'Age-related changes in gene expression, methylation or protein activity in humans'
SYNGR1	'Age-related changes in gene expression, methylation or protein activity in humans'
TAF5	'Age-related changes in gene expression, methylation or protein activity in humans'
TAF6L	'Age-related changes in gene expression, methylation or protein activity in humans'
TAF9	'Age-related changes in gene expression, methylation or protein activity in humans'
TAFA5	'Association of genetic variants and gene expression levels with longevity'
TARDBP	'Changes in gene activity extend non-mammalian lifespan'
TARDBP	'Age-related changes in gene expression, methylation or protein activity'
TARDBP	'Changes in gene activity reduce non-mammalian lifespan'
TARDBP	'Age-related changes in gene expression, methylation or protein activity in humans'
TARS1	'Age-related changes in gene expression, methylation or protein activity in humans'
TAS2R16	'Association of genetic variants and gene expression levels with longevity'
TAX1BP3	'Age-related changes in gene expression, methylation or protein activity in humans'
TBC1D1	'Age-related changes in gene expression, methylation or protein activity in humans'
TBC1D8B	'Age-related changes in gene expression, methylation or protein activity in humans'
TBC1D9B	'Age-related changes in gene expression, methylation or protein activity in humans'
TBCA	'Age-related changes in gene expression, methylation or protein activity in humans'
TBK1	'Age-related changes in gene expression, methylation or protein activity in humans'
TBKBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
TBL1X	'Age-related changes in gene expression, methylation or protein activity in humans'
TBL3	'Age-related changes in gene expression, methylation or protein activity in humans'
TBP	'Age-related changes in gene expression, methylation or protein activity in humans'
TBX3	'Association of genetic variants and gene expression levels with longevity'
TBXA2R	'Age-related changes in gene expression, methylation or protein activity in humans'
TCAF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TCEAL1	'Age-related changes in gene expression, methylation or protein activity in humans'
TCERG1	'Age-related changes in gene expression, methylation or protein activity in humans'
TCF3	'Association of genetic variants and gene expression levels with longevity'
TCF3	'Changes in gene activity extend non-mammalian lifespan'
TCF3	'Age-related changes in gene expression, methylation or protein activity'
TCF3	'Age-related changes in gene expression, methylation or protein activity in humans'
TCF3	'Changes in gene activity enhance age-related deterioration'
TCIRG1	'Age-related changes in gene expression, methylation or protein activity in humans'
TELO2	'Changes in gene activity extend non-mammalian lifespan'
TEP1	'Age-related changes in gene expression, methylation or protein activity in humans'
TERC	'Association of genetic variants and gene expression levels with longevity'
TERC	'Changes in gene activity reduce mammalian lifespan'
TERC	'Regulation of genes associated with aging'
TERC	'Age-related changes in gene expression, methylation or protein activity'
TERC	'Changes in gene activity enhance age-related deterioration'
TERF1	'Age-related changes in gene expression, methylation or protein activity'
TERF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TERF1	'Association of genetic variants and gene expression levels with longevity'
TERF1	'Changes in gene activity protect against age-related impairment'
TERF1	'Changes in gene activity enhance age-related deterioration'
TERF2	'Regulation of genes associated with aging'
TERF2	'Changes in gene activity enhance age-related deterioration'
TERF2	'Age-related changes in gene expression, methylation or protein activity'
TERF2	'Age-related changes in gene expression, methylation or protein activity in humans'
TERT	'Changes in gene activity extend mammalian lifespan'
TERT	'Age-related changes in gene expression, methylation or protein activity in humans'
TERT	'Regulation of genes associated with aging'
TERT	'Changes in gene activity protect against age-related impairment'
TERT	'Changes in gene activity enhance age-related deterioration'
TERT	'Age-related changes in gene expression, methylation or protein activity'
TERT	'Association of genetic variants and gene expression levels with longevity'
TESK1	'Age-related changes in gene expression, methylation or protein activity in humans'
TFAP2A	'Age-related changes in gene expression, methylation or protein activity in humans'
TFAP2A	'Regulation of genes associated with aging'
TFDP1	'Association of genetic variants and gene expression levels with longevity'
TFDP2	'Age-related changes in gene expression, methylation or protein activity in humans'
TGFA	'Association of genetic variants and gene expression levels with longevity'
TGFA	'Age-related changes in gene expression, methylation or protein activity in humans'
TGFB1	'Age-related changes in gene expression, methylation or protein activity'
TGFB1	'Changes in gene activity protect against age-related impairment'
TGFB1	'Regulation of genes associated with aging'
TGFB1	'Changes in gene activity extend non-mammalian lifespan'
TGFB1	'Changes in gene activity reduce non-mammalian lifespan'
TGFBR1	'Age-related changes in gene expression, methylation or protein activity'
TGFBR1	'Changes in gene activity extend non-mammalian lifespan'
TGFBR1	'Changes in gene activity protect against age-related impairment'
TGFBR1	'Changes in gene activity reduce non-mammalian lifespan'
TGFBR2	'Age-related changes in gene expression, methylation or protein activity in humans'
TGFBR3	'Age-related changes in gene expression, methylation or protein activity in humans'
TGIF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TGM2	'Age-related changes in gene expression, methylation or protein activity'
TGM2	'Regulation of genes associated with aging'
TGM2	'Changes in gene activity protect against age-related impairment'
TGM2	'Age-related changes in gene expression, methylation or protein activity in humans'
TGOLN2	'Age-related changes in gene expression, methylation or protein activity in humans'
TH	'Association of genetic variants and gene expression levels with longevity'
THY1	'Age-related changes in gene expression, methylation or protein activity in humans'
TIAM1	'Age-related changes in gene expression, methylation or protein activity in humans'
TICAM1	'Age-related changes in gene expression, methylation or protein activity in humans'
TIMELESS	'Age-related changes in gene expression, methylation or protein activity in humans'
TIMM17A	'Age-related changes in gene expression, methylation or protein activity in humans'
TIMM21	'Age-related changes in gene expression, methylation or protein activity in humans'
TIMM8A	'Age-related changes in gene expression, methylation or protein activity in humans'
TIMP1	'Age-related changes in gene expression, methylation or protein activity'
TIMP2	'Age-related changes in gene expression, methylation or protein activity'
TIMP2	'Age-related changes in gene expression, methylation or protein activity in humans'
TIRAP	'Association of genetic variants and gene expression levels with longevity'
TJP2	'Age-related changes in gene expression, methylation or protein activity in humans'
TLE1	'Age-related changes in gene expression, methylation or protein activity'
TLN1	'Age-related changes in gene expression, methylation or protein activity in humans'
TLN2	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR1	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR10	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR2	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR3	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR4	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR5	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR7	'Age-related changes in gene expression, methylation or protein activity in humans'
TLR8	'Age-related changes in gene expression, methylation or protein activity in humans'
TM2D1	'Age-related changes in gene expression, methylation or protein activity in humans'
TM4SF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TMBIM4	'Age-related changes in gene expression, methylation or protein activity in humans'
TMBIM6	'Age-related changes in gene expression, methylation or protein activity in humans'
TMEM123	'Age-related changes in gene expression, methylation or protein activity in humans'
TMEM131L	'Association of genetic variants and gene expression levels with longevity'
TMEM167B	'Age-related changes in gene expression, methylation or protein activity in humans'
TMEM18	'Association of genetic variants and gene expression levels with longevity'
TMEM185A	'Age-related changes in gene expression, methylation or protein activity in humans'
TMEM47	'Age-related changes in gene expression, methylation or protein activity in humans'
TMEM9	'Age-related changes in gene expression, methylation or protein activity in humans'
TMPO	'Age-related changes in gene expression, methylation or protein activity in humans'
TMPRSS2	'Age-related changes in gene expression, methylation or protein activity'
TMPRSS2	'Age-related changes in gene expression, methylation or protein activity in humans'
TMTC2	'Association of genetic variants and gene expression levels with longevity'
TMX1	'Age-related changes in gene expression, methylation or protein activity in humans'
TNF	'Age-related changes in gene expression, methylation or protein activity'
TNF	'Age-related changes in gene expression, methylation or protein activity in humans'
TNF	'Changes in gene activity protect against age-related impairment'
TNF	'Association of genetic variants and gene expression levels with longevity'
TNF	'Regulation of genes associated with aging'
TNFAIP8	'Age-related changes in gene expression, methylation or protein activity in humans'
TNFRSF10B	'Age-related changes in gene expression, methylation or protein activity in humans'
TNFRSF21	'Age-related changes in gene expression, methylation or protein activity in humans'
TNFRSF4	'Age-related changes in gene expression, methylation or protein activity in humans'
TNFSF14	'Age-related changes in gene expression, methylation or protein activity in humans'
TNFSF8	'Age-related changes in gene expression, methylation or protein activity in humans'
TNKS2	'Association of genetic variants and gene expression levels with longevity'
TNNI3K	'Association of genetic variants and gene expression levels with longevity'
TNNT1	'Age-related changes in gene expression, methylation or protein activity in humans'
TNRC6A	'Age-related changes in gene expression, methylation or protein activity in humans'
TOB1	'Age-related changes in gene expression, methylation or protein activity in humans'
TOLLIP	'Age-related changes in gene expression, methylation or protein activity in humans'
TOMM20	'Age-related changes in gene expression, methylation or protein activity in humans'
TOMM40	'Association of genetic variants and gene expression levels with longevity'
TOP1	'Age-related changes in gene expression, methylation or protein activity'
TOP2B	'Age-related changes in gene expression, methylation or protein activity'
TOP2B	'Age-related changes in gene expression, methylation or protein activity in humans'
TOP3B	'Changes in gene activity reduce mammalian lifespan'
TOP3B	'Changes in gene activity enhance age-related deterioration'
TOPORS	'Changes in gene activity reduce mammalian lifespan'
TOPORS	'Changes in gene activity enhance age-related deterioration'
TOPORS	'Changes in gene activity extend mammalian lifespan'
TOX	'Association of genetic variants and gene expression levels with longevity'
TP53	'Regulation of genes associated with aging'
TP53	'Association of genetic variants and gene expression levels with longevity'
TP53	'Age-related changes in gene expression, methylation or protein activity'
TP53	'Age-related changes in gene expression, methylation or protein activity in humans'
TP53	'Changes in gene activity protect against age-related impairment'
TP53	'Changes in gene activity reduce mammalian lifespan'
TP53	'Changes in gene activity enhance age-related deterioration'
TP53	'Changes in gene activity extend non-mammalian lifespan'
TP53	'Changes in gene activity reduce non-mammalian lifespan'
TP53BP1	'Age-related changes in gene expression, methylation or protein activity in humans'
TP53BP1	'Regulation of genes associated with aging'
TP53BP1	'Changes in gene activity reduce mammalian lifespan'
TP53I11	'Age-related changes in gene expression, methylation or protein activity in humans'
TP53INP1	'Age-related changes in gene expression, methylation or protein activity in humans'
TP53TG1	'Age-related changes in gene expression, methylation or protein activity in humans'
TP63	'Changes in gene activity reduce mammalian lifespan'
TP63	'Changes in gene activity enhance age-related deterioration'
TP63	'Age-related changes in gene expression, methylation or protein activity in humans'
TP73	'Changes in gene activity enhance age-related deterioration'
TP73	'Association of genetic variants and gene expression levels with longevity'
TP73	'Regulation of genes associated with aging'
TP73	'Changes in gene activity reduce mammalian lifespan'
TPBG	'Age-related changes in gene expression, methylation or protein activity in humans'
TPD52L2	'Age-related changes in gene expression, methylation or protein activity in humans'
TPI1	'Age-related changes in gene expression, methylation or protein activity in humans'
TPM3	'Age-related changes in gene expression, methylation or protein activity in humans'
TPP2	'Changes in gene activity reduce mammalian lifespan'
TPP2	'Changes in gene activity enhance age-related deterioration'
TPP2	'Regulation of genes associated with aging'
TPP2	'Age-related changes in gene expression, methylation or protein activity in humans'
TPPP	'Age-related changes in gene expression, methylation or protein activity in humans'
TPPP3	'Age-related changes in gene expression, methylation or protein activity in humans'
TPST2	'Age-related changes in gene expression, methylation or protein activity in humans'
TRAF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TRAK2	'Age-related changes in gene expression, methylation or protein activity in humans'
TRAM2	'Age-related changes in gene expression, methylation or protein activity in humans'
TRAP1	'Changes in gene activity protect against age-related impairment'
TRAP1	'Changes in gene activity enhance age-related deterioration'
TRAPPC10	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIB2	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM23	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM33	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM38	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM55	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM58	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIM72	'Age-related changes in gene expression, methylation or protein activity'
TRIM72	'Regulation of genes associated with aging'
TRIM72	'Changes in gene activity protect against age-related impairment'
TRIO	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIOBP	'Age-related changes in gene expression, methylation or protein activity in humans'
TRIP12	'Age-related changes in gene expression, methylation or protein activity in humans'
TRMT112	'Age-related changes in gene expression, methylation or protein activity in humans'
TRPV1	'Changes in gene activity extend mammalian lifespan'
TRPV1	'Age-related changes in gene expression, methylation or protein activity'
TRPV1	'Age-related changes in gene expression, methylation or protein activity in humans'
TRPV1	'Regulation of genes associated with aging'
TRPV1	'Changes in gene activity enhance age-related deterioration'
TSC22D1	'Age-related changes in gene expression, methylation or protein activity in humans'
TSC22D3	'Age-related changes in gene expression, methylation or protein activity in humans'
TSNAX	'Age-related changes in gene expression, methylation or protein activity in humans'
TSPAN5	'Age-related changes in gene expression, methylation or protein activity in humans'
TSPAN6	'Age-related changes in gene expression, methylation or protein activity in humans'
TSPYL2	'Age-related changes in gene expression, methylation or protein activity in humans'
TST	'Age-related changes in gene expression, methylation or protein activity in humans'
TTC4	'Age-related changes in gene expression, methylation or protein activity in humans'
TTC9	'Age-related changes in gene expression, methylation or protein activity in humans'
TTF2	'Age-related changes in gene expression, methylation or protein activity in humans'
TTLL12	'Age-related changes in gene expression, methylation or protein activity in humans'
TTR	'Association of genetic variants and gene expression levels with longevity'
TUBA3C	'Age-related changes in gene expression, methylation or protein activity in humans'
TUBB	'Age-related changes in gene expression, methylation or protein activity in humans'
TUBB2A	'Age-related changes in gene expression, methylation or protein activity in humans'
TUBB6	'Regulation of genes associated with aging'
TUBB6	'Changes in gene activity protect against age-related impairment'
TUBB6	'Changes in gene activity enhance age-related deterioration'
TUBB6	'Changes in gene activity extend non-mammalian lifespan'
TWF1	'Age-related changes in gene expression, methylation or protein activity in humans'
TXK	'Age-related changes in gene expression, methylation or protein activity in humans'
TXN	'Regulation of genes associated with aging'
TXN	'Changes in gene activity extend non-mammalian lifespan'
TXN	'Changes in gene activity extend mammalian lifespan'
TXN	'Age-related changes in gene expression, methylation or protein activity in humans'
TXN	'Changes in gene activity protect against age-related impairment'
TXN	'Changes in gene activity enhance age-related deterioration'
TXN	'Association of genetic variants and gene expression levels with longevity'
TXN	'Changes in gene activity reduce non-mammalian lifespan'
TXNDC11	'Age-related changes in gene expression, methylation or protein activity in humans'
TXNDC9	'Age-related changes in gene expression, methylation or protein activity in humans'
TXNIP	'Age-related changes in gene expression, methylation or protein activity in humans'
TXNRD1	'Association of genetic variants and gene expression levels with longevity'
TYMS	'Changes in gene activity extend non-mammalian lifespan'
TYMS	'Age-related changes in gene expression, methylation or protein activity in humans'
TYMS	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
U2AF1	'Regulation of genes associated with aging'
U2AF1	'Age-related changes in gene expression, methylation or protein activity in humans'
UBA2	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2B	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2D2	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2D3	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2H	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2M	'Age-related changes in gene expression, methylation or protein activity in humans'
UBE2S	'Age-related changes in gene expression, methylation or protein activity in humans'
UBL3	'Age-related changes in gene expression, methylation or protein activity in humans'
UBL5	'Age-related changes in gene expression, methylation or protein activity in humans'
UBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
UBR5	'Age-related changes in gene expression, methylation or protein activity in humans'
UCHL1	'Changes in gene activity enhance age-related deterioration'
UCHL3	'Age-related changes in gene expression, methylation or protein activity in humans'
UCP1	'Changes in gene activity extend mammalian lifespan'
UCP1	'Changes in gene activity protect against age-related impairment'
UCP1	'Association of genetic variants and gene expression levels with longevity'
UCP1	'Age-related changes in gene expression, methylation or protein activity'
UCP1	'Changes in gene activity enhance age-related deterioration'
UCP2	'Changes in gene activity extend non-mammalian lifespan'
UCP2	'Changes in gene activity extend mammalian lifespan'
UCP2	'Age-related changes in gene expression, methylation or protein activity'
UCP2	'Age-related changes in gene expression, methylation or protein activity in humans'
UCP2	'Changes in gene activity protect against age-related impairment'
UCP2	'Association of genetic variants and gene expression levels with longevity'
UCP2	'Changes in gene activity enhance age-related deterioration'
UCP3	'Age-related changes in gene expression, methylation or protein activity'
UCP3	'Changes in gene activity protect against age-related impairment'
UCP3	'Changes in gene activity extend non-mammalian lifespan'
UCP3	'Changes in gene activity reduce non-mammalian lifespan'
UCP3	'Association of genetic variants and gene expression levels with longevity'
UCP3	'Age-related changes in gene expression, methylation or protein activity in humans'
UGP2	'Age-related changes in gene expression, methylation or protein activity in humans'
UPF1	'Age-related changes in gene expression, methylation or protein activity in humans'
UPF2	'Age-related changes in gene expression, methylation or protein activity in humans'
UPF3A	'Age-related changes in gene expression, methylation or protein activity in humans'
UQCRB	'Age-related changes in gene expression, methylation or protein activity in humans'
UQCRC1	'Age-related changes in gene expression, methylation or protein activity in humans'
UQCRC2	'Age-related changes in gene expression, methylation or protein activity in humans'
UQCRFS1	'Age-related changes in gene expression, methylation or protein activity in humans'
UQCRH	'Age-related changes in gene expression, methylation or protein activity in humans'
URM1	'Age-related changes in gene expression, methylation or protein activity in humans'
UROS	'Age-related changes in gene expression, methylation or protein activity in humans'
UROS	'Age-related changes in gene expression, methylation or protein activity'
USE1	'Age-related changes in gene expression, methylation or protein activity in humans'
USF2	'Age-related changes in gene expression, methylation or protein activity in humans'
USO1	'Age-related changes in gene expression, methylation or protein activity in humans'
USP1	'Age-related changes in gene expression, methylation or protein activity in humans'
USP10	'Age-related changes in gene expression, methylation or protein activity in humans'
USP13	'Age-related changes in gene expression, methylation or protein activity in humans'
USP14	'Age-related changes in gene expression, methylation or protein activity in humans'
USP2-AS1	'Association of genetic variants and gene expression levels with longevity'
USP25	'Age-related changes in gene expression, methylation or protein activity in humans'
USP3	'Age-related changes in gene expression, methylation or protein activity in humans'
USP42	'Association of genetic variants and gene expression levels with longevity'
USP46	'Age-related changes in gene expression, methylation or protein activity in humans'
USP54	'Age-related changes in gene expression, methylation or protein activity in humans'
USP6	'Age-related changes in gene expression, methylation or protein activity in humans'
UTS2	'Age-related changes in gene expression, methylation or protein activity in humans'
UXS1	'Age-related changes in gene expression, methylation or protein activity in humans'
UXT	'Age-related changes in gene expression, methylation or protein activity in humans'
VAMP3	'Age-related changes in gene expression, methylation or protein activity in humans'
VAMP4	'Age-related changes in gene expression, methylation or protein activity in humans'
VASH1	'Age-related changes in gene expression, methylation or protein activity in humans'
VAT1	'Age-related changes in gene expression, methylation or protein activity in humans'
VCAN	'Age-related changes in gene expression, methylation or protein activity in humans'
VCL	'Changes in gene activity extend non-mammalian lifespan'
VCL	'Age-related changes in gene expression, methylation or protein activity in humans'
VCP	'Regulation of genes associated with aging'
VCP	'Changes in gene activity extend non-mammalian lifespan'
VDAC1P1	'Age-related changes in gene expression, methylation or protein activity in humans'
VEGFA	'Association of genetic variants and gene expression levels with longevity'
VEGFA	'Age-related changes in gene expression, methylation or protein activity'
VEGFA	'Age-related changes in gene expression, methylation or protein activity in humans'
VEGFA	'Regulation of genes associated with aging'
VEGFA	'Changes in gene activity enhance age-related deterioration'
VEGFA	'Changes in gene activity extend mammalian lifespan'
VEGFA	'Changes in gene activity protect against age-related impairment'
VEGFB	'Age-related changes in gene expression, methylation or protein activity in humans'
VEGFC	'Age-related changes in gene expression, methylation or protein activity in humans'
VEGFD	'Age-related changes in gene expression, methylation or protein activity in humans'
VGLL4	'Age-related changes in gene expression, methylation or protein activity in humans'
VHL	'Changes in gene activity extend non-mammalian lifespan'
VHL	'Regulation of genes associated with aging'
VHL	'Changes in gene activity protect against age-related impairment'
VIM	'Age-related changes in gene expression, methylation or protein activity in humans'
VLDLR	'Age-related changes in gene expression, methylation or protein activity in humans'
VPS26A	'Age-related changes in gene expression, methylation or protein activity in humans'
VRK2	'Age-related changes in gene expression, methylation or protein activity in humans'
VRK3	'Age-related changes in gene expression, methylation or protein activity in humans'
VWF	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR12	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR33	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR4	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR6	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR77	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR87	'Age-related changes in gene expression, methylation or protein activity in humans'
WDR91	'Age-related changes in gene expression, methylation or protein activity in humans'
